,smiles_parent,PC_uM_sign,PC_uM_value
0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,3.7
1,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,1.08
2,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,1.68
3,CCOCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,12.7
4,Nc1nc(N)c(-c2ccc(Cl)cc2)c(COc2ccc([N+](=O)[O-])cc2)n1,,85.1
5,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(C=CCc2ccccc2)n1,,0.5
6,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(COc2ccccc2)n1,,13.5
7,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(COc2cccc3ccccc23)n1,,3.9
8,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(C=Cc2ccc3ccccc3c2)n1,,12.8
9,N#CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,490.0
10,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C(F)(F)F)n1,>,42.0
11,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CNc2ccc([N+](=O)[O-])cc2)n1,,17.0
12,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+](=O)[O-])c1,,0.85
13,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=[N+]=[N-])c1,,1.33
14,CCc1nc(N)nc(N)c1-c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,,5.05
15,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+]#N)c1,,0.19
16,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)C)c1,,2.8
17,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=CN(C)C)c1,,10.6
18,CCc1nc(N)nc(N)c1-c1ccc(N2CCCCC2)cc1,,12.0
19,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(N(C)Cc2ccccc2)c1,,1.6
20,CCc1nc(N)nc(N)c1-c1ccc(N)c(N(C)Cc2ccccc2)c1,,3.6
21,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(N(CC)Cc2ccccc2)c1,,5.7
22,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(Cc2ccccc2)c1,,1.03
23,CCc1nc(NS(C)(=O)=O)nc(NS(C)(=O)=O)c1-c1ccc(Cl)cc1,,1.4
24,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2)c1,,0.17
25,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2cc(Cc3ccccc3)nn2)c1,,5.18
26,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2cc(-c3ccccc3)nn2)c1,,3.53
27,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2ccnn2)c1,,24.8
28,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+]2=NN(Cc3ccccc3)CC2)c1,,13.5
29,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NC(=O)c2ccccc2)c1,,10.8
30,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,,1.3
31,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NCc2ccccc2)c1,,0.12
32,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N(C)Cc2cc(OC)c(OC)c(OC)c2)c1,,1.07
33,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccccc2)c([N+](=O)[O-])c1,,1.03
34,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccccc2)c([N+](=O)[O-])c1,,1.6
35,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+](=O)[O-])c1,,0.85
36,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)O)cc2)c([N+](=O)[O-])c1,,0.27
37,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C(=O)O)cc2)c([N+](=O)[O-])c1,,0.27
38,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C(=O)NC)cc2)c([N+](=O)[O-])c1,,0.46
39,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C3=NC(C)(C)CO3)cc2)c([N+](=O)[O-])c1,,0.95
40,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C3OCCO3)cc2)c([N+](=O)[O-])c1,,0.93
41,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(N)=O)cc2)c([N+](=O)[O-])c1,,0.53
42,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)NC)cc2)c([N+](=O)[O-])c1,,0.58
43,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)N3CCCCC3)cc2)c([N+](=O)[O-])c1,,2.2
44,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)N(C)C)cc2)c([N+](=O)[O-])c1,,1.3
45,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)C)c1,,2.8
46,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=CN(C)C)c1,,10.6
47,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NNC)c1,,4.6
48,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CC)c1,,14.1
49,CCCN(C)N=Nc1cc(-c2c(N)nc(N)nc2CC)ccc1Cl,,10.2
50,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)Cc2ccccc2)c1,,2.8
51,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CCN(CC)CC)c1,,18.2
52,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CC)CC)c1,,29.3
53,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C(C)(C)C)C(C)(C)C)c1,>,11.0
54,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCCC2)c1,>,11.0
55,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCCCC2)c1,,40.4
56,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCN(C)CC2)c1,,8.5
57,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCC(O)CC2)c1,,3.3
58,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCOCC2)c1,,1.7
59,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CCO)c1,,3.5
60,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CC)CCO)c1,,11.5
61,CCCN(CCO)N=Nc1cc(-c2c(N)nc(N)nc2CC)ccc1Cl,,2.5
62,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)C(C)(C)C)c1,,4.9
63,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)Cc2ccccc2)c1,,0.26
64,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)CCO)c1,,0.44
65,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC)CCOC)c1,,0.91
66,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CC2OCCO2)c1,,0.57
67,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCc3ccccc3C2)c1,,5.0
68,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2)c1,,0.17
